genotype,treatment,biomass_g
WT,control,24.1
WT,control,25.8
WT,control,21.8
WT,control,25
WT,control,21.6
WT,control,22.7
WT,control,25.5
WT,control,24.6
WT,drought,21.1
WT,drought,24.6
WT,drought,19.5
WT,drought,17.4
WT,drought,24.8
WT,drought,22.3
WT,drought,23.8
WT,drought,21.1
mutant,control,25.3
mutant,control,23.2
mutant,control,21.2
mutant,control,21.5
mutant,control,23.4
mutant,control,25.9
mutant,control,17.7
mutant,control,23.2
mutant,drought,10.7
mutant,drought,10.3
mutant,drought,14.7
mutant,drought,12.6
mutant,drought,10.4
mutant,drought,15.3
mutant,drought,13
mutant,drought,11.2
