lake,length_mm
Lake Ashe,143
Lake Ashe,146
Lake Ashe,152
Lake Ashe,151
Lake Ashe,172
Lake Ashe,132
Lake Ashe,129
Lake Ashe,131
Lake Ashe,125
Lake Ashe,130
Lake Ashe,118
Lake Ashe,155
Lake Ashe,137
Lake Ashe,157
Lake Ashe,140
Lake Ashe,166
Lake Ashe,155
Lake Ashe,150
Lake Ashe,144
Lake Ashe,167
Lake Ashe,139
Lake Ashe,109
Lake Bynum,172
Lake Bynum,167
Lake Bynum,118
Lake Bynum,179
Lake Bynum,135
Lake Bynum,164
Lake Bynum,159
Lake Bynum,162
Lake Bynum,152
Lake Bynum,185
Lake Bynum,171
Lake Bynum,138
Lake Bynum,158
Lake Bynum,134
Lake Bynum,177
Lake Bynum,174
Lake Bynum,125
Lake Bynum,161
Lake Bynum,179
