height,herbivores,sqrt.area
low,minus,9.41
low,minus,34.47
low,minus,46.67
low,minus,16.64
low,minus,24.38
low,minus,38.35
low,minus,33.78
low,minus,61.10
low,minus,35.46
low,minus,46.17
low,minus,35.41
low,minus,25.04
low,minus,0.71
low,minus,41.10
low,minus,36.16
low,minus,41.79
low,plus,11.98
low,plus,14.47
low,plus,0.71
low,plus,8.01
low,plus,0.71
low,plus,0.71
low,plus,27.64
low,plus,42.99
low,plus,3.15
low,plus,8.34
low,plus,0.71
low,plus,4.12
low,plus,0.71
low,plus,35.97
low,plus,3.50
low,plus,2.75
mid,minus,0.71
mid,minus,24.95
mid,minus,46.56
mid,minus,0.71
mid,minus,5.14
mid,minus,6.18
mid,minus,46.95
mid,minus,22.90
mid,minus,19.43
mid,minus,37.13
mid,minus,14.20
mid,minus,3.15
mid,minus,21.61
mid,minus,16.64
mid,minus,45.54
mid,minus,47.94
mid,plus,0.71
mid,plus,32.21
mid,plus,35.08
mid,plus,17.54
mid,plus,6.24
mid,plus,13.04
mid,plus,25.63
mid,plus,36.50
mid,plus,37.52
mid,plus,45.78
mid,plus,20.03
mid,plus,9.97
mid,plus,2.75
mid,plus,40.13
mid,plus,40.81
mid,plus,44.86
