treatment,height_cm
Control,24.1
Control,22.7
Control,21.2
Control,20.9
Control,24.5
Control,24.9
Control,22.9
Control,21.2
Control,18.3
Control,18.6
Control,17.2
Control,22.7
Control,23.7
Control,22.3
Control,13
Low nitrogen,22.8
Low nitrogen,20.6
Low nitrogen,24.5
Low nitrogen,18.7
Low nitrogen,17.6
Low nitrogen,26.4
Low nitrogen,24.1
Low nitrogen,26.1
Low nitrogen,22.6
Low nitrogen,24.3
Low nitrogen,18.9
Low nitrogen,22.9
Low nitrogen,25.1
Low nitrogen,17.4
Low nitrogen,22.9
High nitrogen,24.1
High nitrogen,27.4
High nitrogen,26.9
High nitrogen,32
High nitrogen,26.9
High nitrogen,29.6
High nitrogen,29.4
High nitrogen,26.9
High nitrogen,26.7
High nitrogen,29.7
High nitrogen,25.8
High nitrogen,28.4
High nitrogen,29.9
High nitrogen,34.3
High nitrogen,24.8
